,seq3139@10,seq9785@12,naive,seq997@4,seq10542@8,seq10631@9,seq12823@5,seq2703@7,seq5118@13,seq6355@32,seq581@9,seq876@29,seq2948@8,seq883@32,seq3216@7,seq2425@10,seq387@21,seq1882@7,seq648@7,seq1455@25,seq103@72,seq696@51,seq8992@44,seq3311@22,seq2110@21,seq5311@17,seq3430@16,seq1817@15,seq717@11,seq209@10,seq2243@10,seq17535@5,seq35708@5,seq12890@9,seq2@15214,seq190@254,seq313@187,seq4295@9,seq2604@4,seq8258@4,seq8614@12,seq18788@4,seq340@131,seq1878@24,seq2432@8,seq4024@4
seq17535@5,0.6242424242424242,0.6484848484848483,0.7333333333333332,0.9999999999999999,0.7333333333333332,0.6606060606060605,0.6484848484848483,0.6606060606060605,0.9999999999999999,0.6484848484848483,0.7454545454545454,0.6606060606060605,0.6606060606060605,0.6606060606060605,0.6606060606060605,0.6606060606060605,0.9878787878787878,0.7454545454545454,0.6606060606060605,0.7454545454545454,0.6242424242424242,0.7454545454545454,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.6606060606060605,0.6484848484848483,0.7454545454545454,0.6606060606060605,0.6606060606060605,0.7333333333333332,1.0,0.6484848484848483,0.8181818181818182,0.8060606060606059,0.6606060606060605,0.7333333333333332,0.6606060606060605,0.6484848484848483,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.6484848484848483,0.6484848484848483,0.6484848484848483,0.9878787878787878
seq35708@5,0.9272727272727272,0.9999999999999999,0.9515151515151514,0.6484848484848483,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6484848484848483,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.7333333333333332,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.6484848484848483,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483,1.0,0.9515151515151514,0.9636363636363635,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6484848484848483,0.9999999999999999,0.9636363636363635,0.9636363636363635,0.6242424242424242
seq12890@9,0.9272727272727272,0.9515151515151514,0.9757575757575757,0.8181818181818182,0.9757575757575757,0.9636363636363635,0.9515151515151514,0.9636363636363635,0.8181818181818182,0.9515151515151514,0.9878787878787878,0.9636363636363635,0.9636363636363635,0.9636363636363635,0.9636363636363635,0.9636363636363635,0.8787878787878788,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.9272727272727272,0.9878787878787878,0.8181818181818182,0.8060606060606059,0.9636363636363635,0.9636363636363635,0.9515151515151514,0.9878787878787878,0.9636363636363635,0.9636363636363635,0.9757575757575757,0.8181818181818182,0.9515151515151514,1.0,0.9878787878787878,0.9636363636363635,0.9757575757575757,0.9636363636363635,0.9515151515151514,0.9636363636363635,0.9515151515151514,0.8181818181818182,0.9515151515151514,0.9515151515151514,0.9515151515151514,0.8060606060606059
seq2@15214,0.8909090909090909,0.9636363636363635,0.9515151515151514,0.8060606060606059,0.9878787878787878,0.9515151515151514,0.9636363636363635,0.9515151515151514,0.8060606060606059,0.9636363636363635,0.9757575757575757,0.9515151515151514,0.9515151515151514,0.9515151515151514,0.9515151515151514,0.9515151515151514,0.8666666666666665,0.9757575757575757,0.9515151515151514,0.9757575757575757,0.9515151515151514,0.9757575757575757,0.8060606060606059,0.8181818181818182,0.9515151515151514,0.9515151515151514,0.9636363636363635,0.9757575757575757,0.9515151515151514,0.9515151515151514,0.9878787878787878,0.8060606060606059,0.9636363636363635,0.9878787878787878,1.0,0.9515151515151514,0.9878787878787878,0.9515151515151514,0.9636363636363635,0.9515151515151514,0.9636363636363635,0.8060606060606059,0.9636363636363635,0.9272727272727272,0.9272727272727272,0.7818181818181817
seq190@254,0.9636363636363635,0.9878787878787878,0.9757575757575757,0.6606060606060605,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7454545454545454,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.6606060606060605,0.9878787878787878,0.9636363636363635,0.9515151515151514,1.0,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483
seq313@187,0.9151515151515152,0.9878787878787878,0.9636363636363635,0.7333333333333332,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.7333333333333332,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9757575757575757,0.9757575757575757,0.9757575757575757,0.9757575757575757,0.8060606060606059,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.7333333333333332,0.7454545454545454,0.9757575757575757,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9757575757575757,0.9999999999999999,0.7333333333333332,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,1.0,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.7333333333333332,0.9878787878787878,0.9515151515151514,0.9515151515151514,0.709090909090909
seq4295@9,0.9636363636363635,0.9878787878787878,0.9757575757575757,0.6606060606060605,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7454545454545454,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.6606060606060605,0.9878787878787878,0.9636363636363635,0.9515151515151514,0.9999999999999999,0.9757575757575757,1.0,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483
seq2604@4,0.9272727272727272,0.9999999999999999,0.9515151515151514,0.6484848484848483,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6484848484848483,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.7333333333333332,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.6484848484848483,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483,0.9999999999999999,0.9515151515151514,0.9636363636363635,0.9878787878787878,0.9878787878787878,0.9878787878787878,1.0,0.9878787878787878,0.9999999999999999,0.6484848484848483,0.9999999999999999,0.9636363636363635,0.9636363636363635,0.6242424242424242
seq8258@4,0.9636363636363635,0.9878787878787878,0.9757575757575757,0.6606060606060605,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7454545454545454,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.6606060606060605,0.9878787878787878,0.9636363636363635,0.9515151515151514,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9878787878787878,1.0,0.9878787878787878,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483
seq8614@12,0.9272727272727272,0.9999999999999999,0.9515151515151514,0.6484848484848483,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6484848484848483,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.7333333333333332,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.6484848484848483,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483,0.9999999999999999,0.9515151515151514,0.9636363636363635,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,1.0,0.6484848484848483,0.9999999999999999,0.9636363636363635,0.9636363636363635,0.6242424242424242
seq18788@4,0.6242424242424242,0.6484848484848483,0.7333333333333332,0.9999999999999999,0.7333333333333332,0.6606060606060605,0.6484848484848483,0.6606060606060605,0.9999999999999999,0.6484848484848483,0.7454545454545454,0.6606060606060605,0.6606060606060605,0.6606060606060605,0.6606060606060605,0.6606060606060605,0.9878787878787878,0.7454545454545454,0.6606060606060605,0.7454545454545454,0.6242424242424242,0.7454545454545454,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.6606060606060605,0.6484848484848483,0.7454545454545454,0.6606060606060605,0.6606060606060605,0.7333333333333332,0.9999999999999999,0.6484848484848483,0.8181818181818182,0.8060606060606059,0.6606060606060605,0.7333333333333332,0.6606060606060605,0.6484848484848483,0.6606060606060605,0.6484848484848483,1.0,0.6484848484848483,0.6484848484848483,0.6484848484848483,0.9878787878787878
seq340@131,0.9272727272727272,0.9999999999999999,0.9515151515151514,0.6484848484848483,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6484848484848483,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.7333333333333332,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.6484848484848483,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483,0.9999999999999999,0.9515151515151514,0.9636363636363635,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6484848484848483,1.0,0.9636363636363635,0.9636363636363635,0.6242424242424242
seq1878@24,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6484848484848483,0.9515151515151514,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6484848484848483,0.9636363636363635,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.7333333333333332,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9515151515151514,0.9757575757575757,0.6484848484848483,0.6242424242424242,0.9878787878787878,0.9878787878787878,0.9636363636363635,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9515151515151514,0.6484848484848483,0.9636363636363635,0.9515151515151514,0.9272727272727272,0.9878787878787878,0.9515151515151514,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.9636363636363635,0.6484848484848483,0.9636363636363635,1.0,0.9999999999999999,0.6606060606060605
seq2432@8,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6484848484848483,0.9515151515151514,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6484848484848483,0.9636363636363635,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.7333333333333332,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9515151515151514,0.9757575757575757,0.6484848484848483,0.6242424242424242,0.9878787878787878,0.9878787878787878,0.9636363636363635,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9515151515151514,0.6484848484848483,0.9636363636363635,0.9515151515151514,0.9272727272727272,0.9878787878787878,0.9515151515151514,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.9636363636363635,0.6484848484848483,0.9636363636363635,0.9999999999999999,1.0,0.6606060606060605
seq4024@4,0.6484848484848483,0.6242424242424242,0.7454545454545454,0.9878787878787878,0.709090909090909,0.6484848484848483,0.6242424242424242,0.6484848484848483,0.9878787878787878,0.6242424242424242,0.7333333333333332,0.6484848484848483,0.6484848484848483,0.6484848484848483,0.6484848484848483,0.6484848484848483,0.9757575757575757,0.7333333333333332,0.6484848484848483,0.7333333333333332,0.6121212121212121,0.7333333333333332,0.9878787878787878,0.9636363636363635,0.6484848484848483,0.6484848484848483,0.6242424242424242,0.7333333333333332,0.6484848484848483,0.6484848484848483,0.709090909090909,0.9878787878787878,0.6242424242424242,0.8060606060606059,0.7818181818181817,0.6484848484848483,0.709090909090909,0.6484848484848483,0.6242424242424242,0.6484848484848483,0.6242424242424242,0.9878787878787878,0.6242424242424242,0.6606060606060605,0.6606060606060605,1.0
